DATE,Hour,Time Slot,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,MCP (Rs/MWh) *
10-03-2021,8,07:15 - 07:30,15596.5,13252.6,12686.5,12686.5,4750.35,4751.35
10-03-2021,8,07:30 - 07:45,15580.6,13006.1,12653.9,12653.9,4999.6,5000.6
10-03-2021,8,07:45 - 08:00,15708.4,12877.3,12654.2,12654.2,5250.01,5251.01
10-03-2021,9,08:00 - 08:15,14526.9,12555.9,11853,11853,4489.99,4490.99
10-03-2021,9,08:15 - 08:30,14015,12294.8,11340.7,11340.7,4489.64,4490.64
10-03-2021,9,08:30 - 08:45,13442.3,11201.8,10867.4,10867.4,4999.7,5000.7
10-03-2021,9,08:45 - 09:00,13418.1,10256,10018.9,10018.9,5200.39,5201.39
10-03-2021,10,09:00 - 09:15,12712.9,9678,9438.8,9438.8,5500.96,5501.96
10-03-2021,10,09:15 - 09:30,12605.1,9060.1,9042.1,9042.1,6300.21,6301.21
10-03-2021,10,09:30 - 09:45,12228.3,8778.4,8760.4,8760.4,6300.21,6301.21
10-03-2021,10,09:45 - 10:00,11764.5,8447.1,8429.1,8429.1,6300.11,6301.11
10-03-2021,11,10:00 - 10:15,11456.1,8347.6,8108.4,8108.4,5200.62,5201.62
10-03-2021,11,10:15 - 10:30,11451,8464.3,8309.3,8309.3,5700.08,5701.08
10-03-2021,11,10:30 - 10:45,11575.1,8636,8396.8,8396.8,5250.68,5251.68
10-03-2021,11,10:45 - 11:00,11310.2,8587,8303.8,8303.8,4999.86,5000.86
10-03-2021,12,11:00 - 11:15,11078.2,9186.6,8135.6,8135.6,4401.63,4402.63
10-03-2021,12,11:15 - 11:30,11131.4,9243.4,8230.8,8230.8,4489.23,4490.23
10-03-2021,12,11:30 - 11:45,11558.2,9368.9,8356.9,8356.9,4489.39,4490.39
10-03-2021,12,11:45 - 12:00,11778.9,9765.9,8541.5,8541.5,4300.78,4301.78
10-03-2021,13,12:00 - 12:15,12497,10147.7,8743.9,8743.9,4279.49,4280.49
10-03-2021,13,12:15 - 12:30,12868.8,10663.9,9042,9042,4200.68,4201.68
10-03-2021,13,12:30 - 12:45,12842.4,11207.7,9333.7,9333.7,4003.5,4004.5
10-03-2021,13,12:45 - 13:00,12293.7,11710.9,9580.4,9580.4,3449.7,3450.7
10-03-2021,14,13:00 - 13:15,11589.6,12214,8976.8,8976.8,3305.09,3306.09
